,tgt_rate,cpi_yoy,pce_yoy,gdp_yoy,unrate,unrate_chg_3m,vix,t10y2y,eq_ret_12m,y
2008-01-01,3.0,4.294695655165981,3.3874068170097082,1.3924712055185307,5.0,0.2999999999999998,25.816190476190474,1.2685714285714287,-1.4305142851397057,1
2008-02-01,3.0,4.142959270611968,3.2729227281756534,1.3924712055185307,4.9,0.20000000000000018,25.456,1.7645,-6.211578435321796,0
2008-03-01,2.25,3.9749035501344343,3.1911425710759778,1.3924712055185307,5.1,0.09999999999999964,27.103500000000004,1.893,-6.1075771111885,0
2008-04-01,2.0,3.9037609759888126,3.13951867682587,1.3760107660276244,5.0,0.0,21.562727272727273,1.627727272727273,-5.259647048828231,1
2008-05-01,2.0,4.088413823123993,3.282143932550441,1.3760107660276244,5.4,0.5,18.303333333333335,1.4342857142857142,-3.0794542341526343,1
2008-06-01,2.0,4.935966105947864,3.8114389395462744,1.3760107660276244,5.6,0.5,22.11047619047619,1.3257142857142856,-6.470761781117195,1
2008-07-01,2.0,5.497512078341837,4.135655023597695,0.26596727212868654,5.8,0.7999999999999998,24.321818181818184,1.4345454545454546,-14.196915293843714,1
2008-08-01,2.0,5.308017162091239,3.9806273062730657,0.26596727212868654,6.1,0.6999999999999993,20.695714285714285,1.4652380952380952,-5.91579562739053,1
2008-09-01,2.0,4.953319875136075,3.6678383532060543,0.26596727212868654,6.1,0.5,30.23857142857143,1.61,-16.276970501159806,0
2008-10-01,1.0,3.7310578899565128,2.6718431480336147,-2.5411536884212604,6.5,0.7000000000000002,61.17739130434782,2.2018181818181817,-37.76759370979252,1
2008-11-01,1.0,1.0999174706166848,0.9250293343662008,-2.5411536884212604,6.8,0.7000000000000002,62.66894736842105,2.3138888888888887,-42.0649538054746,0
2008-12-01,0.25,-0.02222800255385904,0.12956901254774777,-2.5411536884212604,7.3,1.2000000000000002,52.405,1.5954545454545455,-42.669071987775,1
2009-01-01,0.25,-0.11358601902212717,-0.11110355304627673,-3.234227293078318,7.8,1.2999999999999998,44.683,1.7105000000000001,-36.42924464114493,1
2009-02-01,0.25,0.008463140671510772,-0.13124844425335125,-3.234227293078318,8.3,1.5000000000000009,45.57052631578947,1.894736842105263,-36.10970203459962,1
2009-03-01,0.25,-0.4464787676623838,-0.5257516782309568,-3.234227293078318,8.7,1.3999999999999995,44.79545454545455,1.8881818181818182,-36.481206828303584,1
2009-04-01,0.25,-0.5763244243767063,-0.5675739591662121,-3.9788374053187248,9.0,1.2000000000000002,38.063809523809525,2.0,-30.697692915919696,1
2009-05-01,0.25,-1.015761495855172,-0.8892128279883504,-3.9788374053187248,9.4,1.0999999999999996,31.977999999999998,2.3635,-30.49093772615894,1
2009-06-01,0.25,-1.2291746182109153,-1.018624689681269,-3.9788374053187248,9.5,0.8000000000000007,29.140454545454546,2.5377272727272726,-24.736453634982247,1
2009-07-01,0.25,-1.9587610037622771,-1.4660091971854472,-3.1328157006863644,9.5,0.5,26.162727272727274,2.5431818181818184,-17.746935195460722,1
2009-08-01,0.25,-1.4838355663267633,-1.1001197711041022,-3.1328157006863644,9.6,0.1999999999999993,25.337142857142858,2.4719047619047623,-16.41138815030152,1
2009-09-01,0.25,-1.377942862886472,-1.0227486786264395,-3.1328157006863644,9.8,0.3000000000000007,24.92666666666667,2.4457142857142857,-5.481853812338033,1
2009-10-01,0.25,-0.22396829420033848,0.013385238313023962,0.10557252348297741,10.0,0.5,24.252272727272725,2.4385714285714286,22.685403790590453,1
2009-11-01,0.25,1.9145871744709275,1.4606120122357291,0.10557252348297741,9.9,0.3000000000000007,23.788999999999998,2.599473684210526,38.947193259100096,1
2009-12-01,0.25,2.8141231232083674,2.089718268292118,0.10557252348297741,9.9,0.09999999999999964,21.239545454545453,2.7154545454545453,45.52814020069953,1
2010-01-01,0.25,2.6211113889767157,2.301720615608116,1.7452658449103264,9.8,-0.1999999999999993,20.643157894736845,2.8042105263157895,47.526281499524984,1
2010-02-01,0.25,2.151336357866529,2.1163301837627158,1.7452658449103264,9.8,-0.09999999999999964,22.54,2.8342105263157897,47.67659480419757,1
2010-03-01,0.25,2.2861714393279886,2.3727160339801934,1.7452658449103264,9.9,0.0,17.767391304347825,2.7686956521739132,64.9343097919762,1
2010-04-01,0.25,2.2067707525304403,2.282122430488709,2.91359502911801,9.9,0.09999999999999964,17.424285714285716,2.786363636363636,50.85297454452606,1
2010-05-01,0.25,2.003548929218568,2.20846957131704,2.91359502911801,9.6,-0.20000000000000107,31.9295,2.5895,34.36470842126149,1
2010-06-01,0.25,1.1215605940686268,1.5622188231059875,2.91359502911801,9.4,-0.5,29.916363636363634,2.4795454545454545,22.34504676598894,1
2010-07-01,0.25,1.3407784804821077,1.6373900721981194,3.344209253779229,9.4,-0.5,25.565238095238094,2.394761904761905,17.95438726387195,1
2010-08-01,0.25,1.1501775395112546,1.4823951558645243,3.344209253779229,9.5,-0.09999999999999964,24.74590909090909,2.178181818181818,10.421129092579884,1
2010-09-01,0.25,1.1183122472331775,1.419551296404098,3.344209253779229,9.5,0.09999999999999964,22.517619047619046,2.1676190476190476,10.245801192287995,1
2010-10-01,0.25,1.1666951489314625,1.3584198610352205,2.7759609093124693,9.4,0.0,20.37333333333333,2.164,15.00088263499537,1
2010-11-01,0.25,1.084544776600338,1.3071968137772894,2.7759609093124693,9.8,0.3000000000000007,20.095714285714287,2.309,18.075630941426056,1
2010-12-01,0.25,1.437793022217937,1.477668197333748,2.7759609093124693,9.3,-0.1999999999999993,17.56954545454545,2.6727272727272724,18.506730367713907,1
